Datums;TestuSkaits;ApstiprinataCOVID19InfekcijaSkaits;Ipatsvars;IzarstetoPacientuSkaits;MirusoPersonuSkaits;ApstiprinatiVecGr_0-9Gadi;ApstiprinatiVecGr_10-19Gadi;ApstiprinatiVecGr_20-29Gadi;ApstiprinatiVecGr_30-39Gadi;ApstiprinatiVecGr_40-49Gadi;ApstiprinatiVecGr_50-59Gadi;ApstiprinatiVecGr_60-69Gadi;ApstiprinatiVecGr_70GadiUnVairak;ApstiprinatiVecGr_70-79Gadi;ApstiprinatiVecGr_80GadiUnVairak;IzveselojusosSkaits;14DienuKumulativaSaslimstibaUz100000Iedzivotaju;ApstCOVID19InfSk_NevakcVakcNepab;ApstCOVID19InfSk_Vakc;Population
2021.02.09.;13108;781;6;0;16;25;41;90;149;140;145;101;90;54;36;60798;573.7;...;…;1934379
2021.02.10.;12334;990;8;0;32;34;61;119;186;169;173;141;107;67;40;61889;567.8;...;…;1934379
2021.02.11.;12340;842;6.8;0;21;39;48;89;142;140;152;116;116;60;56;62844;561.4;...;…;1934379
2021.02.12.;12104;808;6.7;0;15;36;65;88;157;128;123;100;111;70;41;63757;554.9;...;…;1934379
2021.02.13.;10157;773;7.6;0;12;30;45;73;124;127;126;108;140;72;68;64528;554.3;...;…;1934379
2021.02.14.;4955;424;8.6;0;8;29;27;39;59;66;71;59;74;33;41;65046;548.6;...;…;1934379
2021.02.15.;3186;278;8.7;0;17;15;12;35;54;38;44;37;43;26;17;65450;541.6;...;…;1934379
2021.02.16.;12908;713;5.5;0;18;20;35;75;141;121;136;107;78;42;36;66208;538.4;...;…;1934379
2021.02.17.;12251;946;7.7;0;22;31;41;92;150;158;172;155;147;83;64;67408;523.4;...;…;1934379
2021.02.18.;10929;708;6.5;0;13;34;45;88;145;106;118;97;75;42;33;68119;521.6;...;…;1934379
2021.02.19.;10915;689;6.3;0;12;31;44;78;137;109;138;96;56;33;23;68967;511.8;...;…;1934379
2021.02.20.;11165;1069;9.6;0;5;30;70;116;197;179;205;135;137;75;62;69993;513.1;...;…;1934379
2021.02.21.;4819;410;8.5;0;4;11;29;56;67;69;75;42;61;42;19;70461;509.5;...;…;1934379
2021.02.22.;3334;274;8.2;0;4;12;16;30;53;56;50;31;26;19;7;70741;508.7;...;…;1934379
2021.02.23.;12678;669;5.3;0;24;24;27;85;162;107;117;92;55;32;23;71508;502.9;...;…;1934379
2021.02.24.;12591;983;7.8;0;17;29;52;95;182;146;182;164;133;76;57;72464;502.5;...;…;1934379
2021.02.25.;12232;813;6.6;0;6;36;46;84;141;129;154;127;96;52;44;73285;501;...;…;1934379
2021.02.26.;12715;725;5.7;0;8;34;44;80;133;135;118;96;85;47;38;74078;496.6;...;…;1934379
2021.02.27.;12088;827;6.8;0;13;43;56;113;151;144;130;96;94;55;39;74839;499.5;...;…;1934379
2021.02.28.;4839;376;7.8;0;4;16;29;42;61;52;78;47;51;24;27;75255;496.9;...;…;1934379
2021.03.01.;3451;272;7.9;0;3;9;13;35;61;47;46;33;28;21;7;75516;496.6;...;…;1934379
2021.03.02.;14225;645;4.5;0;17;36;32;62;125;129;119;87;55;46;9;76211;493.1;...;…;1934379
2021.03.03.;14339;919;6.4;0;16;53;48;88;147;168;166;128;121;85;36;77135;491.6;...;…;1934379
2021.03.04.;15156;646;4.3;0;12;23;40;73;130;126;104;91;59;28;31;77830;488.4;...;…;1934379
2021.03.05.;15923;746;4.7;0;14;36;40;92;130;130;127;108;83;47;36;78507;491.4;...;…;1934379
2021.03.06.;12859;595;4.6;0;7;40;42;75;121;93;87;74;63;48;15;79751;466.5;...;…;1934379
2021.03.07.;5226;322;6.2;0;8;15;21;39;60;50;53;45;39;20;19;79977;461.9;...;…;1934379
2021.03.08.;3214;194;6;0;4;13;7;20;39;33;32;26;24;15;9;80247;457.7;...;…;1934379
2021.03.09.;15633;472;3;0;6;28;28;54;111;74;76;67;34;18;16;80892;447.4;...;…;1934379
2021.03.10.;16705;639;3.8;0;21;22;38;53;117;112;114;103;80;48;32;81858;429.4;...;…;1934379
2021.03.11.;17483;638;3.6;0;11;24;36;64;128;116;126;89;55;30;25;82665;420.2;...;…;1934379
2021.03.12.;18026;632;3.5;0;9;36;56;61;113;107;114;75;70;40;30;83382;415.3;...;…;1934379
2021.03.13.;13870;578;4.2;0;11;30;38;63;112;96;99;89;51;37;14;84196;402.3;...;…;1934379
2021.03.14.;5990;297;5;0;10;21;20;24;57;45;52;40;38;23;15;84568;398.1;...;…;1934379
2021.03.15.;3635;178;4.9;0;2;14;11;25;38;25;22;21;22;16;6;84837;393.7;...;…;1934379
2021.03.16.;16419;643;3.9;0;8;30;37;63;115;110;126;92;70;36;34;85465;393.1;...;…;1934379
2021.03.17.;15915;818;5.1;0;12;37;54;71;163;138;150;107;98;64;34;86368;387.8;...;…;1934379
2021.03.18.;16008;482;3;0;12;18;38;62;79;72;86;84;43;29;14;87002;379.2;...;…;1934379
2021.03.19.;16904;622;3.7;0;10;25;35;67;126;97;92;107;73;48;25;87734;372.7;...;…;1934379
2021.03.20.;13840;625;4.5;0;10;24;63;73;106;113;112;86;48;30;18;88322;374.3;...;…;1934379
2021.03.21.;4931;260;5.3;0;5;16;16;29;49;35;39;49;27;16;11;88636;371;...;…;1934379
2021.03.22.;3266;177;5.4;0;2;11;16;19;39;33;22;14;23;15;8;88826;370.1;...;…;1934379
2021.03.23.;18614;508;2.7;0;12;26;35;52;69;86;107;66;67;33;34;89292;372;...;…;1934379
2021.03.24.;16899;776;4.6;0;11;34;46;89;143;139;136;125;64;45;19;89910;379.2;...;…;1934379
2021.03.25.;17518;606;3.5;0;13;24;45;76;110;94;114;72;71;41;30;90537;377.5;...;…;1934379
2021.03.26.;17881;638;3.6;0;3;30;38;83;136;92;113;85;61;34;27;91160;377.8;...;…;1934379
2021.03.27.;14627;602;4.1;0;5;27;32;70;93;100;116;81;83;52;31;91727;379.1;...;…;1934379
2021.03.28.;4591;324;7.1;0;6;10;27;41;83;46;45;36;36;16;20;92014;380.5;...;…;1934379
2021.03.29.;3517;167;4.7;0;5;3;9;25;40;27;29;16;18;10;8;92190;379.9;...;…;1934379
2021.03.30.;18937;526;2.8;0;10;12;34;71;94;94;98;71;52;30;22;92825;373.8;...;…;1934379
2021.03.31.;16080;630;3.9;0;6;28;43;55;116;103;103;101;78;46;32;93631;364;...;…;1934379
2021.04.01.;18174;638;3.5;0;14;24;46;78;107;109;121;79;74;45;29;94101;372.1;...;…;1934379
2021.04.02.;17046;587;3.4;0;9;19;52;84;108;93;89;82;60;41;19;94713;370.3;...;…;1934379
2021.04.03.;4324;279;6.5;0;1;18;20;31;65;45;38;36;26;19;7;95328;352.2;...;…;1934379
2021.04.04.;4196;238;5.7;0;8;6;12;31;39;45;45;24;36;22;14;95561;351;...;…;1934379
2021.04.05.;3139;119;3.8;0;3;6;4;12;30;24;15;17;11;7;4;95758;348;...;…;1934379
2021.04.06.;4987;309;6.2;0;3;13;21;48;63;58;51;31;24;17;7;96254;337.5;...;…;1934379
2021.04.07.;23143;643;2.8;0;9;16;34;61;111;127;114;107;72;48;24;97019;330.6;...;…;1934379
2021.04.08.;24155;740;3.1;0;17;22;55;105;152;108;133;107;58;32;26;97612;337.6;...;…;1934379
2021.04.09.;18589;658;3.5;0;18;33;46;88;128;124;111;78;50;28;22;98247;338.6;...;…;1934379
2021.04.10.;16852;666;4;0;5;29;57;80;135;92;106;105;62;41;21;98844;342;...;…;1934379
2021.04.11.;5386;368;6.8;0;0;11;37;49;59;52;74;45;41;22;19;99162;344.3;...;…;1934379
2021.04.12.;3209;210;6.5;0;4;3;17;22;49;26;34;39;20;12;8;99324;346.5;...;…;1934379
2021.04.13.;20618;537;2.6;0;12;14;34;65;92;93;107;84;48;35;13;99840;347.1;...;…;1934379
2021.04.14.;18932;733;3.9;0;17;25;44;93;122;124;136;104;85;48;37;100464;352.5;...;…;1934379
2021.04.15.;17233;643;3.7;0;11;23;58;88;128;103;112;77;54;31;23;101088;352.8;...;…;1934379
2021.04.16.;16373;612;3.7;0;12;25;52;81;106;105;100;86;57;32;25;101666;354.1;...;…;1934379
2021.04.17.;15192;654;4.3;0;6;33;62;96;110;109;103;78;63;38;25;101944;373.8;...;…;1934379
2021.04.18.;4801;337;7;0;5;24;15;40;65;54;54;42;43;28;15;102174;378.9;...;…;1934379
2021.04.19.;2683;202;7.5;0;3;9;14;26;37;45;25;27;19;12;7;102290;383.3;...;…;1934379
2021.04.20.;18656;688;3.7;0;15;26;63;87;125;131;117;84;55;38;17;102596;403.2;...;…;1934379
2021.04.21.;19150;759;4;0;8;32;59;106;149;142;132;80;59;36;23;103230;409.2;...;…;1934379
2021.04.22.;17164;578;3.4;0;9;31;47;70;123;99;88;75;45;28;17;103953;400.7;...;…;1934379
2021.04.23.;15300;683;4.5;0;6;39;53;79;125;114;110;95;68;40;28;104593;402.1;...;…;1934379
2021.04.24.;14961;711;4.8;0;7;34;63;95;158;124;98;79;60;37;23;105254;404.4;...;…;1934379
2021.04.25.;5439;361;6.6;0;1;20;30;35;95;62;48;41;30;19;11;105622;404.1;...;…;1934379
2021.04.26.;3461;220;6.4;0;4;8;15;23;53;43;31;20;27;12;15;105828;404.6;...;…;1934379
2021.04.27.;19951;596;3;0;4;23;34;85;121;108;108;76;41;27;14;106353;407.7;...;…;1934379
2021.04.28.;18698;967;5.2;0;8;57;71;123;189;175;156;127;69;42;27;107069;419.9;...;…;1934379
2021.04.29.;18021;696;3.9;0;7;28;58;100;123;122;110;94;61;38;23;107701;422.7;...;…;1934379
2021.04.30.;16474;763;4.6;0;6;44;75;99;147;142;120;93;43;29;14;108301;430.6;...;…;1934379
2021.05.01.;12637;812;6.4;0;8;41;75;85;144;136;147;114;70;40;30;108949;438.9;...;…;1934379
2021.05.02.;3578;380;10.6;0;5;25;45;42;76;63;55;42;32;29;3;109281;441.2;...;…;1934379
2021.05.03.;2571;203;7.9;0;10;11;19;30;54;25;25;19;20;15;5;109480;441.2;...;…;1934379
2021.05.04.;5517;425;7.7;0;5;32;33;51;86;68;68;48;39;22;17;110153;427.4;...;…;1934379
2021.05.05.;3883;358;9.2;0;7;11;25;54;79;56;67;40;26;15;11;110904;406.4;...;…;1934379
2021.05.06.;23852;773;3.2;0;12;29;63;92;169;129;117;113;61;40;21;111473;416.6;...;…;1934379
2021.05.07.;18511;1036;5.6;0;19;44;82;133;198;176;155;142;106;65;41;112150;435.1;...;…;1934379
2021.05.08.;18694;786;4.2;0;11;32;70;110;140;143;116;114;61;38;23;112854;439.1;...;…;1934379
2021.05.09.;18767;632;3.4;0;4;34;90;70;111;103;88;80;56;34;22;113214;453.3;...;…;1934379
